participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,11.0,4.0,"14,13,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-60.wav,8.3054,25.0,di,40,n,60,150.0
1727,11.0,4.0,"10,13,12,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-80.wav,9.4027,25.0,di,40,p,80,150.0
1727,10.0,1.0,10,l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-60.wav,2.6114,25.0,di,20,n,60,145.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-80.wav,4.7729,25.0,di,40,n,80,150.0
1727,9.0,7.0,"9,7,8,10,9,10,9",l,False,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-250.wav,12.4444,25.0,di,20,p,250,140.0
1727,10.0,1.0,10,l,True,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-100.wav,2.6779,25.0,di,10,n,100,145.0
1727,9.0,4.0,"1,6,10,9",l,False,main_files/trial_i/07_i_150hz_75db_250ff-40p-80.wav,12.2611,25.0,i,40,p,80,140.0
1727,11.0,3.0,"12,10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-30n-100.wav,6.4604,25.0,i,30,n,100,150.0
1727,13.0,2.0,"14,13",h,True,main_files/trial_i/07_i_150hz_75db_250ff-20p-250.wav,4.4621,25.0,i,20,p,250,160.0
1727,11.0,3.0,"10,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-10p-60.wav,6.1389,25.0,i,10,p,60,150.0
1727,9.0,12.0,"10,9,11,12,13,7,1,8,9,8,10,9",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-250.wav,27.011,25.0,i,30,n,250,140.0
1727,10.0,3.0,"9,8,10",l,False,main_files/trial_i/07_i_150hz_75db_250ff-40p-120.wav,6.547,25.0,i,40,p,120,145.0
1727,11.0,3.0,"13,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-10p-40.wav,5.5974,25.0,i,10,p,40,150.0
1727,10.0,8.0,"10,9,10,11,12,11,9,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-60.wav,19.8518,25.0,i,30,n,60,145.0
1727,11.0,0.0,,l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-40.wav,0.0,25.0,i,10,n,40,150.0
1727,12.0,3.0,"12,13,12",h,True,main_files/trial_i/07_i_150hz_75db_250ff-10p-250.wav,6.9373,25.0,i,10,p,250,155.0
1727,10.0,1.0,10,l,True,main_files/trial_i/07_i_150hz_75db_250ff-20n-60.wav,2.5022,25.0,i,20,n,60,145.0
1727,11.0,7.0,"10,20,1,11,10,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20n-100.wav,18.1056,25.0,i,20,n,100,150.0
1727,10.0,1.0,10,l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-80.wav,2.6936,25.0,i,10,n,80,145.0
1727,13.0,10.0,"9,8,20,15,14,13,12,10,12,13",h,True,main_files/trial_i/07_i_150hz_75db_250ff-30p-60.wav,22.9887,25.0,i,30,p,60,160.0
1727,11.0,3.0,"10,12,11",m,True,main_files/trial_i/07_i_150hz_75db_250ff-000-80.wav,6.9782,25.0,i,0,0,0,150.0
1727,9.0,8.0,"10,9,8,7,10,9,8,9",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-120.wav,15.4869,25.0,i,30,n,120,140.0
1727,13.0,2.0,"14,13",h,True,main_files/trial_i/07_i_150hz_75db_250ff-40p-100.wav,4.2126,25.0,i,40,p,100,160.0
1727,8.0,4.0,"8,7,9,8",l,True,main_files/trial_i/07_i_150hz_75db_250ff-40n-100.wav,8.1565,25.0,i,40,n,100,135.0
1727,12.0,2.0,"13,12",h,False,main_files/trial_i/07_i_150hz_75db_250ff-40n-120.wav,4.4719,25.0,i,40,n,120,155.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20p-40.wav,6.7462,25.0,i,20,p,40,150.0
