participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-120.wav,9.1623,di,10,p,120,150.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-40.wav,6.0465,di,10,p,40,140.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-40.wav,4.6316,di,20,p,40,155.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-100.wav,6.7825,di,10,p,100,155.0
TimoR,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-60.wav,2.6097,di,20,n,60,135.0
TimoR,17.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-120.wav,2.1639,di,40,p,120,180.0
TimoR,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-60.wav,2.3314,di,10,n,60,165.0
TimoR,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-80.wav,4.0154,di,20,n,80,135.0
TimoR,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-40.wav,6.6979,di,20,n,40,145.0
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-60.wav,2.8486,di,30,n,60,150.0
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-100.wav,4.3792,di,30,p,100,150.0
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-80.wav,0.0,di,10,p,80,150.0
TimoR,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-80.wav,3.4773,di,20,p,80,160.0
TimoR,4.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-120.wav,2.7843,di,40,n,120,115.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-120.wav,2.4336,di,30,p,120,155.0
TimoR,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-60.wav,4.8338,di,40,n,60,135.0
TimoR,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-120.wav,2.1403,di,10,n,120,145.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-80.wav,5.3134,di,30,p,80,140.0
