wals code,name,value,description,latitude,longitude,genus,family
kgu,Kalkatungu,1,No tones,-21.0,139.5,Northern Pama-Nyungan,Pama-Nyungan
knk,Kanakuru,2,Simple tone system,10.0,12.0,West Chadic,Afro-Asiatic
knd,Kannada,1,No tones,14.0,76.0,Dravidian,Dravidian
knr,Kanuri,2,Simple tone system,12.0,13.0,Western Saharan,Saharan
ksg,Karen (Sgaw),3,Complex tone system,18.0,97.0,Karen,Sino-Tibetan
krk,Karok,2,Simple tone system,41.6666666667,-123.0,Karok,Hokan
kas,Kashmiri,1,No tones,34.0,76.0,Indic,Indo-European
kws,Kawaiisu,1,No tones,36.0,-117.5,Northern Uto-Aztecan,Uto-Aztecan
kyl,Kayah Li (Eastern),3,Complex tone system,19.0,97.5,Karen,Sino-Tibetan
kay,Kayardild,1,No tones,-17.05,139.5,Tangkic,Tangkic
ked,Kedang,1,No tones,-8.25,123.75,Central Malayo-Polynesian,Austronesian
kef,Kefa,2,Simple tone system,7.25,36.25,Ta-Ne-Omotic,Afro-Asiatic
ker,Kera,3,Complex tone system,9.83333333333,15.0833333333,East Chadic,Afro-Asiatic
ket,Ket,1,No tones,64.0,87.0,Yeniseian,Yeniseian
kew,Kewa,2,Simple tone system,-6.5,143.833333333,Enga_Kewa-Huli,Trans-New Guinea
kha,Khalkha,1,No tones,47.0,105.0,Mongolic,Altaic
kty,Khanty,1,No tones,65.0,65.0,Ugric,Uralic
khr,Kharia,1,No tones,22.5,84.3333333333,Munda,Austro-Asiatic
khs,Khasi,1,No tones,25.5,92.0,Khasian,Austro-Asiatic
khm,Khmer,1,No tones,12.5,105.0,Khmer,Austro-Asiatic
kmu,Khmu',2,Simple tone system,21.0,102.0,Khmuic,Austro-Asiatic
klv,Kilivila,1,No tones,-8.5,151.083333333,Oceanic,Austronesian
kio,Kiowa,2,Simple tone system,37.0,-99.0,Kiowa-Tanoan,Kiowa-Tanoan
kgz,Kirghiz,1,No tones,42.0,75.0,Turkic,Altaic
krb,Kiribati,1,No tones,1.33333333333,173.0,Oceanic,Austronesian
kss,Kisi (Southern),2,Simple tone system,8.5,-10.25,Southern Mel,Niger-Congo
kiw,Kiwai (Southern),2,Simple tone system,-8.0,143.5,Kiwaian,Trans-New Guinea
klm,Klamath,1,No tones,42.5,-121.5,Klamath-Modoc,Penutian
kla,Klao,3,Complex tone system,4.75,-8.75,Kru,Niger-Congo
koa,Koasati,3,Complex tone system,34.8333333333,-85.1666666667,Muskogean,Muskogean
kob,Kobon,1,No tones,-5.16666666667,144.333333333,Kalam-Kobon,Trans-New Guinea
koh,Kohumono,3,Complex tone system,6.0,8.11666666667,Upper Cross,Niger-Congo
koi,Koiari,2,Simple tone system,-9.5,147.333333333,Koiarian,Trans-New Guinea
kzy,Komi-Zyrian,1,No tones,65.0,55.0,Permic,Uralic
kom,Komo,3,Complex tone system,8.75,33.75,Koman,Koman
kkn,Konkani,1,No tones,15.25,74.0,Indic,Indo-European
kgi,Konyagi,2,Simple tone system,12.5,-13.25,Tenda,Niger-Congo
kor,Korean,1,No tones,37.5,128.0,Korean,Korean
kfe,Koromfe,1,No tones,14.25,-0.916666666667,Koromfe,Niger-Congo
kry,Koryak,1,No tones,61.0,167.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan
kot,Kota,1,No tones,11.5,77.1666666667,Dravidian,Dravidian
ktk,Kotoko,2,Simple tone system,11.3333333333,15.3333333333,Biu-Mandara,Afro-Asiatic
koy,Koya,1,No tones,17.5,81.3333333333,Dravidian,Dravidian
kch,Koyra Chiini,1,No tones,17.0,-3.0,Songhay,Songhay
kpa,Kpan,3,Complex tone system,7.58333333333,10.1666666667,Jukunoid,Niger-Congo
kpe,Kpelle,3,Complex tone system,7.0,-10.0,Western Mande,Mande
kro,Krongo,2,Simple tone system,10.5,30.0,Kadugli,Kadu
kya,Kuku-Yalanji,1,No tones,-16.0,145.0,Northern Pama-Nyungan,Pama-Nyungan
kul,Kullo,2,Simple tone system,6.75,37.0833333333,Ta-Ne-Omotic,Afro-Asiatic
