"","n_subj","tau_true","sim_n","tau_med","p_gt_star","p_lt_star"
"256",50,0.122798943911831,106,0.153425175323498,0.0155,0.9845
"257",50,0.122798943911831,107,0.141155789781972,0.006,0.994
"258",50,0.122798943911831,108,0.182141116910325,0.072375,0.927625
"259",50,0.122798943911831,109,0.195798439126348,0.12275,0.87725
"260",50,0.122798943911831,110,0.113755769003219,0.000375,0.999625
"261",50,0.122798943911831,111,0.0989981160207288,0.000375,0.999625
"262",50,0.122798943911831,112,0.119269711215971,0.001625,0.998375
"263",50,0.122798943911831,113,0.135047785909908,0.00575,0.99425
"264",50,0.122798943911831,114,0.165050386216684,0.03175,0.96825
"265",50,0.122798943911831,115,0.0991929986828916,0,1
"266",50,0.122798943911831,116,0.145119692073191,0.00525,0.99475
"267",50,0.122798943911831,117,0.149467775959731,0.014125,0.985875
"268",50,0.122798943911831,118,0.105463768000387,0,1
"269",50,0.122798943911831,119,0.129192452254869,0.00325,0.99675
"270",50,0.122798943911831,120,0.115113767961551,0.00125,0.99875
"271",50,0.122798943911831,121,0.0839664882792066,0.000125,0.999875
"272",50,0.122798943911831,122,0.112261211825492,0.00125,0.99875
"273",50,0.122798943911831,123,0.0625064991398685,0,1
"274",50,0.122798943911831,124,0.10916020415456,5e-04,0.9995
"275",50,0.122798943911831,125,0.108930776697089,0.000875,0.999125
"276",50,0.122798943911831,126,0.0511958723188726,0,1
"277",50,0.122798943911831,127,0.134297492230533,0.00475,0.99525
"278",50,0.122798943911831,128,0.108966258000891,0.000875,0.999125
"279",50,0.122798943911831,129,0.144813114427057,0.01,0.99
"280",50,0.122798943911831,130,0.127113972759428,0.00225,0.99775
"281",50,0.122798943911831,131,0.129279439394977,0.0025,0.9975
"282",50,0.122798943911831,132,0.0862753631477107,0,1
"283",50,0.122798943911831,133,0.11959684405375,0.000875,0.999125
"284",50,0.122798943911831,134,0.119250114419095,0.001125,0.998875
"285",50,0.122798943911831,135,0.160761404230737,0.0245,0.9755
"286",50,0.122798943911831,136,0.152209583407155,0.014625,0.985375
"287",50,0.122798943911831,137,0.117730544612395,0.000625,0.999375
"288",50,0.122798943911831,138,0.123417416344908,0.00125,0.99875
"289",50,0.122798943911831,139,0.128865652329706,0.00275,0.99725
"290",50,0.122798943911831,140,0.105593791531873,0.000125,0.999875
"291",50,0.122798943911831,141,0.120586141830516,0.00125,0.99875
"292",50,0.122798943911831,142,0.0898006312109831,0.000125,0.999875
"293",50,0.122798943911831,143,0.131400981025225,0.006,0.994
"294",50,0.122798943911831,144,0.0835494491368894,0,1
"295",50,0.122798943911831,145,0.0943754904823222,0,1
"296",50,0.122798943911831,146,0.157357408260048,0.018125,0.981875
"297",50,0.122798943911831,147,0.132663893082847,0.00475,0.99525
"298",50,0.122798943911831,148,0.0624371977757816,0,1
"299",50,0.122798943911831,149,0.148284204781591,0.010375,0.989625
"300",50,0.122798943911831,150,0.155492594765788,0.0155,0.9845
"301",50,0.245597887823661,1,0.272735850456546,0.722875,0.277125
"302",50,0.245597887823661,2,0.232732442728643,0.38025,0.61975
"303",50,0.245597887823661,3,0.207190474529867,0.1935,0.8065
"304",50,0.245597887823661,4,0.292985726230757,0.864375,0.135625
"305",50,0.245597887823661,5,0.216562809599905,0.251125,0.748875
"306",50,0.245597887823661,6,0.291561199350404,0.84675,0.15325
"307",50,0.245597887823661,7,0.214799512888824,0.24,0.76
"308",50,0.245597887823661,8,0.195270846683914,0.12375,0.87625
"309",50,0.245597887823661,9,0.267096142300106,0.688,0.312
"310",50,0.245597887823661,10,0.228281077743823,0.3445,0.6555
"311",50,0.245597887823661,11,0.268606081290604,0.681625,0.318375
"312",50,0.245597887823661,12,0.27970526416754,0.771875,0.228125
"313",50,0.245597887823661,13,0.263098036608176,0.6595,0.3405
"314",50,0.245597887823661,14,0.296849310961347,0.881875,0.118125
"315",50,0.245597887823661,15,0.198421878891881,0.133875,0.866125
"316",50,0.245597887823661,16,0.228921029527763,0.360875,0.639125
"317",50,0.245597887823661,17,0.134700968956333,0.00575,0.99425
"318",50,0.245597887823661,18,0.303498140373187,0.905,0.095
"319",50,0.245597887823661,19,0.22030652375318,0.28375,0.71625
"320",50,0.245597887823661,20,0.197559314495145,0.12675,0.87325
"321",50,0.245597887823661,21,0.246346486878172,0.507625,0.492375
"322",50,0.245597887823661,22,0.324599266577468,0.95375,0.04625
"323",50,0.245597887823661,23,0.30094753437291,0.8825,0.1175
"324",50,0.245597887823661,24,0.228372846502339,0.34825,0.65175
"325",50,0.245597887823661,25,0.231911334939701,0.375125,0.624875
"326",50,0.245597887823661,26,0.236813361215407,0.415125,0.584875
"327",50,0.245597887823661,27,0.279245810441704,0.776375,0.223625
"328",50,0.245597887823661,28,0.244662112294902,0.492125,0.507875
"329",50,0.245597887823661,29,0.323804722173735,0.95525,0.04475
"330",50,0.245597887823661,30,0.263296197218153,0.6555,0.3445
"331",50,0.245597887823661,31,0.21233550631642,0.223125,0.776875
"332",50,0.245597887823661,32,0.223505730364873,0.313,0.687
"333",50,0.245597887823661,33,0.231855164840635,0.372,0.628
"334",50,0.245597887823661,34,0.338987795754368,0.982375,0.017625
"335",50,0.245597887823661,35,0.298217140066673,0.8785,0.1215
"336",50,0.245597887823661,36,0.246632669178379,0.511625,0.488375
"337",50,0.245597887823661,37,0.189346976680949,0.1085,0.8915
"338",50,0.245597887823661,38,0.273447169549408,0.726625,0.273375
"339",50,0.245597887823661,39,0.229763483760594,0.3515,0.6485
"340",50,0.245597887823661,40,0.159257270262801,0.02525,0.97475
"341",50,0.245597887823661,41,0.17892232574942,0.0675,0.9325
"342",50,0.245597887823661,42,0.24112828487139,0.46075,0.53925
"343",50,0.245597887823661,43,0.267188468244474,0.688,0.312
"344",50,0.245597887823661,44,0.302241894785846,0.896875,0.103125
"345",50,0.245597887823661,45,0.293313154186619,0.86125,0.13875
"346",50,0.245597887823661,46,0.247735677578285,0.521375,0.478625
"347",50,0.245597887823661,47,0.221507580515258,0.29725,0.70275
"348",50,0.245597887823661,48,0.250109577444278,0.545,0.455
"349",50,0.245597887823661,49,0.253099534668285,0.5675,0.4325
"350",50,0.245597887823661,50,0.19866994590294,0.15675,0.84325
"351",50,0.245597887823661,51,0.269381394501668,0.713625,0.286375
"352",50,0.245597887823661,52,0.256397174155629,0.594125,0.405875
"353",50,0.245597887823661,53,0.288326932912291,0.822,0.178
"354",50,0.245597887823661,54,0.25693745956682,0.597875,0.402125
"355",50,0.245597887823661,55,0.270284672827754,0.709625,0.290375
"356",50,0.245597887823661,56,0.269153945296376,0.702875,0.297125
"357",50,0.245597887823661,57,0.251328309083936,0.548625,0.451375
"358",50,0.245597887823661,58,0.179499757329479,0.062375,0.937625
"359",50,0.245597887823661,59,0.238394540785068,0.438125,0.561875
"360",50,0.245597887823661,60,0.27509297789761,0.745375,0.254625
"361",50,0.245597887823661,61,0.221628879493551,0.30075,0.69925
"362",50,0.245597887823661,62,0.107411774282597,0.000375,0.999625
"363",50,0.245597887823661,63,0.288702299708872,0.842125,0.157875
"364",50,0.245597887823661,64,0.25046714944899,0.547625,0.452375
"365",50,0.245597887823661,65,0.25806666292326,0.60725,0.39275
"366",50,0.245597887823661,66,0.243206888479943,0.47825,0.52175
"367",50,0.245597887823661,67,0.212119899785936,0.224125,0.775875
"368",50,0.245597887823661,68,0.22619494233517,0.330125,0.669875
"369",50,0.245597887823661,69,0.239950027947875,0.45225,0.54775
"370",50,0.245597887823661,70,0.370239397859171,0.997,0.003
"371",50,0.245597887823661,71,0.273597371161501,0.742,0.258
"372",50,0.245597887823661,72,0.237211377891074,0.4245,0.5755
"373",50,0.245597887823661,73,0.195031353634474,0.12325,0.87675
"374",50,0.245597887823661,74,0.270351302786581,0.7145,0.2855
"375",50,0.245597887823661,75,0.171965391121569,0.04575,0.95425
"376",50,0.245597887823661,76,0.237258027557302,0.42225,0.57775
"377",50,0.245597887823661,77,0.322180995977246,0.951375,0.048625
"378",50,0.245597887823661,78,0.23579218663611,0.399625,0.600375
"379",50,0.245597887823661,79,0.259584304819196,0.62775,0.37225
"380",50,0.245597887823661,80,0.262390928307293,0.65075,0.34925
"381",50,0.245597887823661,81,0.274352395472762,0.74975,0.25025
"382",50,0.245597887823661,82,0.214749795752858,0.239125,0.760875
"383",50,0.245597887823661,83,0.191693120416339,0.10825,0.89175
"384",50,0.245597887823661,84,0.220373538003998,0.279875,0.720125
"385",50,0.245597887823661,85,0.235953688613852,0.41475,0.58525
"386",50,0.245597887823661,86,0.310496904031197,0.928375,0.071625
"387",50,0.245597887823661,87,0.248242261405002,0.526125,0.473875
"388",50,0.245597887823661,88,0.345249313530473,0.987375,0.012625
"389",50,0.245597887823661,89,0.217626281052981,0.263625,0.736375
"390",50,0.245597887823661,90,0.320024147102362,0.947625,0.052375
"391",50,0.245597887823661,91,0.156699100983799,0.01525,0.98475
"392",50,0.245597887823661,92,0.207195050729709,0.183125,0.816875
"393",50,0.245597887823661,93,0.213815278609009,0.244625,0.755375
"394",50,0.245597887823661,94,0.321830443107231,0.954375,0.045625
"395",50,0.245597887823661,95,0.321039128192018,0.951,0.049
"396",50,0.245597887823661,96,0.205101834667687,0.166125,0.833875
"397",50,0.245597887823661,97,0.296025266637903,0.88525,0.11475
"398",50,0.245597887823661,98,0.317892094674901,0.93775,0.06225
"399",50,0.245597887823661,99,0.196412587226954,0.12475,0.87525
