"","subject_condition","sim_n","BF","subj_n"
"240","beta2","sim40",234.294117647059,45
"241","beta2","sim41",2.01431801055011,45
"242","beta2","sim42",Inf,45
"243","beta2","sim43",34.2422907488987,45
"244","beta2","sim44",79,45
"245","beta2","sim45",169.212765957447,45
"246","beta2","sim46",2665.66666666667,45
"247","beta2","sim47",7999,45
"248","beta2","sim48",22.1884057971014,45
"249","beta2","sim49",159,45
"250","beta2","sim50",0.89978627404417,45
"251","beta2","sim51",Inf,45
"252","beta2","sim52",665.666666666667,45
"253","beta2","sim53",1599,45
"254","beta2","sim54",189.47619047619,45
"255","beta2","sim55",46.0588235294118,45
"256","beta2","sim56",30.1284046692607,45
"257","beta2","sim57",13.4404332129964,45
"258","beta2","sim58",194.121951219512,45
"259","beta2","sim59",Inf,45
"260","beta2","sim60",Inf,45
"261","beta2","sim61",194.121951219512,45
"262","beta2","sim62",130.147540983607,45
"263","beta2","sim63",1332.33333333333,45
"264","beta2","sim64",30.25,45
"265","beta2","sim65",58.2592592592593,45
"266","beta2","sim66",234.294117647059,45
"267","beta2","sim67",887.888888888889,45
"268","beta2","sim68",62.4920634920635,45
"269","beta2","sim69",1332.33333333333,45
"270","beta2","sim70",102.896103896104,45
"271","beta2","sim71",265.666666666667,45
"272","beta2","sim72",7999,45
"273","beta2","sim73",14.0659133709981,45
"274","beta2","sim74",20.505376344086,45
"275","beta2","sim75",Inf,45
"276","beta2","sim76",665.666666666667,45
"277","beta2","sim77",Inf,45
"278","beta2","sim78",60.5384615384615,45
"279","beta2","sim79",Inf,45
"280","beta2","sim80",114.942028985507,45
"281","beta2","sim81",Inf,45
"282","beta2","sim82",7999,45
"283","beta2","sim83",257.064516129032,45
"284","beta2","sim84",665.666666666667,45
"285","beta2","sim85",5.1633281972265,45
"286","beta2","sim86",5.66666666666667,45
"287","beta2","sim87",28.6296296296296,45
"288","beta2","sim88",114.942028985507,45
"289","beta2","sim89",189.47619047619,45
"290","beta2","sim90",10.7994100294985,45
"291","beta2","sim91",70.4285714285714,45
"292","beta2","sim92",29.0751879699248,45
"293","beta2","sim93",Inf,45
"294","beta2","sim94",194.121951219512,45
"295","beta2","sim95",189.47619047619,45
"296","beta2","sim96",Inf,45
"297","beta2","sim97",362.636363636364,45
"298","beta2","sim98",40.6666666666667,45
"299","beta2","sim99",257.064516129032,45
"300","beta2","sim100",Inf,45
"301","beta2","sim101",85.0215053763441,45
"302","beta2","sim102",Inf,45
"303","beta2","sim103",Inf,45
"304","beta2","sim104",67.3760683760684,45
"305","beta2","sim105",Inf,45
"306","beta2","sim106",71.7272727272727,45
"307","beta2","sim107",7999,45
"308","beta2","sim108",7999,45
"309","beta2","sim109",7.46560846560847,45
"310","beta2","sim110",3.34782608695652,45
"311","beta2","sim111",25.7558528428094,45
"312","beta2","sim112",2665.66666666667,45
"313","beta2","sim113",362.636363636364,45
"314","beta2","sim114",249,45
"315","beta2","sim115",2.2064128256513,45
"316","beta2","sim116",2665.66666666667,45
"317","beta2","sim117",38.2156862745098,45
"318","beta2","sim118",39,45
"319","beta2","sim119",1332.33333333333,45
"320","beta2","sim120",2.87409200968523,45
"321","beta2","sim121",Inf,45
"322","beta2","sim122",7999,45
"323","beta2","sim123",25.6666666666667,45
"324","beta2","sim124",21.3463687150838,45
"325","beta2","sim125",Inf,45
"326","beta2","sim126",3999,45
"327","beta2","sim127",7999,45
"328","beta2","sim128",13.2348754448399,45
"329","beta2","sim129",1599,45
"330","beta2","sim130",73.0740740740741,45
"331","beta2","sim131",7.11359026369168,45
"332","beta2","sim132",319,45
"333","beta2","sim133",18.6078431372549,45
"334","beta2","sim134",4.39083557951482,45
"335","beta2","sim135",57.3941605839416,45
"336","beta2","sim136",257.064516129032,45
"337","beta2","sim137",Inf,45
"338","beta2","sim138",7.87902330743618,45
"339","beta2","sim139",4.6980056980057,45
"340","beta2","sim140",14.2963671128107,45
"341","beta2","sim141",726.272727272727,45
"342","beta2","sim142",Inf,45
"343","beta2","sim143",Inf,45
"344","beta2","sim144",9.78167115902965,45
"345","beta2","sim145",Inf,45
"346","beta2","sim146",570.428571428571,45
"347","beta2","sim147",570.428571428571,45
"348","beta2","sim148",7999,45
"349","beta2","sim149",7999,45
"350","beta2","sim150",97.7654320987654,45
"351","beta2","sim151",7999,45
"352","beta2","sim152",7999,45
"353","beta2","sim153",113.285714285714,45
"354","beta2","sim154",Inf,45
"355","beta2","sim155",51.6315789473684,45
"356","beta2","sim156",Inf,45
"357","beta2","sim157",2665.66666666667,45
"358","beta2","sim158",7.94854586129754,45
"359","beta2","sim159",1599,45
"360","beta2","sim160",1999,45
"361","beta2","sim161",Inf,45
"362","beta2","sim162",33.1880341880342,45
"363","beta2","sim163",306.692307692308,45
"364","beta2","sim164",Inf,45
"365","beta2","sim165",887.888888888889,45
"366","beta2","sim166",24.8064516129032,45
"367","beta2","sim167",3.3360433604336,45
"368","beta2","sim168",1.31414521261209,45
"369","beta2","sim169",Inf,45
"370","beta2","sim170",Inf,45
"371","beta2","sim171",31.258064516129,45
"372","beta2","sim172",1.67916945746818,45
"373","beta2","sim173",7999,45
"374","beta2","sim174",3999,45
"375","beta2","sim175",Inf,45
"376","beta2","sim176",34.7142857142857,45
"377","beta2","sim177",2.69856680536292,45
"378","beta2","sim178",Inf,45
"379","beta2","sim179",665.666666666667,45
"380","beta2","sim180",6.77453838678329,45
"381","beta2","sim181",7999,45
"382","beta2","sim182",319,45
"383","beta2","sim183",1.0997375328084,45
"384","beta2","sim184",17.5185185185185,45
"385","beta2","sim185",4.62983814215341,45
"386","beta2","sim186",221.222222222222,45
"387","beta2","sim187",5.519967400163,45
"388","beta2","sim188",7999,45
"389","beta2","sim189",6.58293838862559,45
"390","beta2","sim190",3999,45
"391","beta2","sim191",1599,45
"392","beta2","sim192",Inf,45
"393","beta2","sim193",13.0105078809107,45
"394","beta2","sim194",1999,45
"395","beta2","sim195",134.593220338983,45
"396","beta2","sim196",102.896103896104,45
"397","beta2","sim197",95.3855421686747,45
"398","beta2","sim198",14.2671755725191,45
"399","beta2","sim199",Inf,45
"400","beta2","sim200",399,45
"401","beta3","sim1",Inf,50
"402","beta3","sim2",74.4716981132076,50
"403","beta3","sim3",570.428571428571,50
"404","beta3","sim4",665.666666666667,50
"405","beta3","sim5",Inf,50
"406","beta3","sim6",7999,50
"407","beta3","sim7",17.8679245283019,50
"408","beta3","sim8",1599,50
"409","beta3","sim9",469.588235294118,50
"410","beta3","sim10",7999,50
"411","beta3","sim11",66.7966101694915,50
"412","beta3","sim12",26.972027972028,50
"413","beta3","sim13",1999,50
"414","beta3","sim14",95.3855421686747,50
"415","beta3","sim15",Inf,50
"416","beta3","sim16",7999,50
"417","beta3","sim17",Inf,50
"418","beta3","sim18",362.636363636364,50
"419","beta3","sim19",532.333333333333,50
"420","beta3","sim20",13.9532710280374,50
"421","beta3","sim21",3999,50
"422","beta3","sim22",Inf,50
"423","beta3","sim23",332.333333333333,50
"424","beta3","sim24",25.0586319218241,50
"425","beta3","sim25",Inf,50
"426","beta3","sim26",227.571428571429,50
"427","beta3","sim27",31.258064516129,50
"428","beta3","sim28",13.5454545454545,50
"429","beta3","sim29",234.294117647059,50
"430","beta3","sim30",420.052631578947,50
"431","beta3","sim31",295.296296296296,50
"432","beta3","sim32",7999,50
"433","beta3","sim33",7999,50
"434","beta3","sim34",Inf,50
"435","beta3","sim35",Inf,50
"436","beta3","sim36",Inf,50
"437","beta3","sim37",4.23560209424084,50
"438","beta3","sim38",7999,50
"439","beta3","sim39",2665.66666666667,50
"440","beta3","sim40",44.9770114942529,50
"441","beta3","sim41",Inf,50
"442","beta3","sim42",2.82226469182991,50
"443","beta3","sim43",128.032258064516,50
"444","beta3","sim44",420.052631578947,50
"445","beta3","sim45",887.888888888889,50
"446","beta3","sim46",726.272727272727,50
"447","beta3","sim47",28.7397769516729,50
"448","beta3","sim48",469.588235294118,50
"449","beta3","sim49",27.7769784172662,50
"450","beta3","sim50",499,50
"451","beta3","sim51",111.676056338028,50
"452","beta3","sim52",295.296296296296,50
"453","beta3","sim53",7999,50
"454","beta3","sim54",346.826086956522,50
"455","beta3","sim55",Inf,50
"456","beta3","sim56",3999,50
"457","beta3","sim57",Inf,50
"458","beta3","sim58",2665.66666666667,50
"459","beta3","sim59",94.2380952380952,50
"460","beta3","sim60",73.0740740740741,50
"461","beta3","sim61",346.826086956522,50
"462","beta3","sim62",Inf,50
"463","beta3","sim63",101.564102564103,50
"464","beta3","sim64",284.714285714286,50
