labID,participantID,date,prolific_pid,study_id,session_id,birthyear,sex,residence_country,country_of_origin,language,instrument,instrument_training,musical_level,musical_training_year,group_singing,group_singing_year,solo_vocal,solo_vocal_year,music_hour,final_rating,final_moves,response_list,trial_tone_list,trial_i_list,trial_di_list,tone_trials.thisN,cv_trials.thisN,corr_dir_di,response_dir,is_correct,is_catch,tone_slider.response,cv_slider.response,catch1_res,catch2_res,response_time,headphone,goodbye.stopped,met_score,catch_n_found,catch_tone_loop_res,catch_tone_loop_ans,catch_tone_loop_correct,catch_tone_end_res,catch_tone_end_ans,catch_tone_end_correct,catch_cv_loop_res,catch_cv_loop_ans,catch_cv_loop_correct,catch_cv_end_res,catch_cv_end_ans,catch_cv_end_correct,catch1_ans,catch2_ans,catch1_correct,catch2_correct,delta_f,stimuli_direction,delta_t,response_f
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,2,"12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-30p-20.wav,10,,h,m,FALSE,0,11,,21,1,6.6732,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,30,p,20,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,10.0,7,"9,10,5,9,10,11,10",,,main_files/trial_di/07_di_150hz_75db_250ff-20n-120.wav,11,,l,l,TRUE,0,10,,21,1,13.8435,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,n,120,145.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,1,12,,,main_files/trial_di/07_di_150hz_75db_250ff-10p-120.wav,12,,h,h,TRUE,0,12,,21,1,3.9986,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,10,p,120,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,1,12,,,main_files/trial_di/07_di_150hz_75db_250ff-20n-100.wav,13,,l,h,FALSE,0,12,,21,1,4.0808,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,n,100,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,5,"12,13,12,10,12",,,main_files/trial_di/07_di_150hz_75db_250ff-20p-120.wav,14,,h,h,TRUE,0,12,,21,1,11.3762,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,p,120,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,11.0,10,"13,12,11,13,12,9,10,11,12,11",,,main_files/trial_di/07_di_150hz_75db_250ff-20p-60.wav,16,,h,m,FALSE,0,11,,21,1,22.2562,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,p,60,150.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,13.0,4,"12,13,14,13",,,main_files/trial_di/07_di_150hz_75db_250ff-20p-20.wav,17,,h,h,TRUE,0,13,,21,1,10.0361,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,p,20,160.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,1,12,,,main_files/trial_di/07_di_150hz_75db_250ff-20p-40.wav,18,,h,h,TRUE,0,12,,21,1,4.6248,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,20,p,40,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,3,"13,14,12",,,main_files/trial_di/07_di_150hz_75db_250ff-40p-20.wav,19,,h,h,TRUE,0,12,,21,1,7.6887,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,40,p,20,155.0
unknown_lab,ea57eb5a-74a8-4452-9839-6d0923408342,2026-05-31_23h49.02.675,6a088a5e43d21c6f1cbf1133,6a1c801cda008e26918c5e33,6a1cba924c3a9b0396f17cc1,2007,male,United Kingdom,United Kingdom,"[{""Column 1"":""English"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1},{""Column 1"":""Polish"",""Column 2"":1,""Column 3"":0,""Column 8"":1,""Column 5"":1,""Column 6"":1,""Column 7"":1}]",TRUE,TRUE,intermediate,3,TRUE,1,FALSE,,14,12.0,2,"10,12",,,main_files/trial_di/07_di_150hz_75db_250ff-40p-100.wav,20,,h,h,TRUE,0,12,,21,1,5.6295,Razer Blackshark V2,2388.0448,38.0,4,1,1,True,21,21,True,1,1,True,1,1,True,21,1,True,True,40,p,100,155.0
